,id,genre_ids,name
0,1038392,27,Horror
1,1086910,28,Action
2,1086910,12,Adventure
3,338969,28,Action
4,338969,35,Comedy
5,338969,878,Science Fiction
6,1311031,16,Animation
7,1311031,28,Action
8,1311031,14,Fantasy
9,1311031,53,Thriller
10,793387,28,Action
11,793387,14,Fantasy
12,793387,27,Horror
13,793387,53,Thriller
14,755898,878,Science Fiction
15,755898,53,Thriller
16,1186350,28,Action
17,1186350,80,Crime
18,1186350,53,Thriller
19,941109,80,Crime
20,617126,878,Science Fiction
21,617126,12,Adventure
22,1257009,28,Action
23,1257009,27,Horror
24,1257009,10752,War
25,986097,27,Horror
26,986097,9648,Mystery
27,1053008,28,Action
28,1267319,28,Action
29,1267319,80,Crime
30,1267319,53,Thriller
31,803796,10751,Family
32,803796,14,Fantasy
33,803796,10402,Music
34,803796,35,Comedy
35,803796,12,Adventure
36,803796,16,Animation
37,1328803,28,Action
38,1328803,10752,War
39,1328803,53,Thriller
40,1328803,36,History
41,533533,878,Science Fiction
42,533533,12,Adventure
43,533533,28,Action
44,1054867,28,Action
45,1054867,53,Thriller
46,1054867,80,Crime
47,1061474,878,Science Fiction
48,1061474,12,Adventure
49,1061474,28,Action
50,1357886,37,Western
51,1236470,18,Drama
52,1236470,9648,Mystery
53,1236470,53,Thriller
54,7451,28,Action
55,7451,12,Adventure
56,7451,53,Thriller
57,7451,80,Crime
58,1547527,53,Thriller
59,1547527,27,Horror
60,1009640,28,Action
61,1009640,10752,War
62,1087192,14,Fantasy
63,1087192,10751,Family
64,1087192,28,Action
65,1087192,12,Adventure
66,1078605,27,Horror
67,1078605,9648,Mystery
68,1385169,27,Horror
69,1385169,14,Fantasy
70,1552819,28,Action
71,575265,28,Action
72,575265,12,Adventure
73,575265,53,Thriller
74,1234821,878,Science Fiction
75,1234821,12,Adventure
76,1234821,28,Action
77,911430,28,Action
78,911430,18,Drama
79,1218925,16,Animation
80,1218925,28,Action
81,1218925,14,Fantasy
82,1032448,27,Horror
83,1032448,28,Action
84,1032448,878,Science Fiction
85,1290879,9648,Mystery
86,1290879,18,Drama
87,1290879,53,Thriller
88,1352755,10749,Romance
89,1352755,35,Comedy
90,1007734,28,Action
91,1007734,53,Thriller
92,1175942,10751,Family
93,1175942,35,Comedy
94,1175942,80,Crime
95,1175942,12,Adventure
96,1175942,16,Animation
97,1277988,35,Comedy
98,1277988,18,Drama
99,1277988,10751,Family
100,1242404,18,Drama
101,1242404,35,Comedy
102,1242011,27,Horror
103,1242011,10749,Romance
104,1010581,10749,Romance
105,1010581,18,Drama
106,957121,27,Horror
107,957121,9648,Mystery
108,957121,53,Thriller
109,1010581,10749,Romance
110,1010581,18,Drama
111,552524,10751,Family
112,552524,878,Science Fiction
113,552524,35,Comedy
114,552524,12,Adventure
115,870360,10751,Family
116,870360,35,Comedy
117,870360,12,Adventure
118,870360,16,Animation
119,870360,878,Science Fiction
120,980477,16,Animation
121,980477,14,Fantasy
122,980477,12,Adventure
